w0,w1,w2,w3,w4,w5,w6,w7,w8,w9,w10,sharpe,annualized,var,J,call_number
1,-1,-1,-1,1,-1,0,0,0,1,1,0.78,9.79,-21.96,-3.14297,183
0,-1,0,-1,-1,0,0,0,-1,-1,-1,1.02,19.86,-27.6,-4.254300000000001,184
1,-1,0,1,-1,-1,0,0,1,-1,0,0.65,8.59,-24.08,-3.16601,185
-1,-1,-1,-1,-1,-1,0,0,0,-1,-1,1.21,25.18,-29.42,-4.7979400000000005,186
1,1,1,0,1,-1,0,1,0,1,1,0.76,9.5,-22.77,-3.18734,187
-1,-1,1,-1,-1,-1,0,-1,0,-1,-1,0.83,14.11,-26.77,-3.78669,188
1,-1,1,1,0,1,0,0,1,1,0,0.91,13.08,-23.56,-3.53532,189
-1,-1,1,-1,-1,1,0,0,0,1,1,0.93,14.93,-26.64,-3.90343,190
-1,1,0,0,0,0,-1,0,0,-1,0,0.82,12.81,-27.68,-3.81491,191
-1,-1,-1,-1,0,1,0,0,0,0,-1,1.39,30.5,-29.51,-5.172420000000001,192
1,1,0,1,-1,1,0,1,0,1,1,0.77,10.93,-23.83,-3.34491,193
-1,0,-1,-1,0,0,0,0,0,0,-1,1.25,26.17,-29.23,-4.85511,194
0,-1,0,-1,0,-1,0,0,0,-1,-1,1.14,22.97,-27.61,-4.48407,195
-1,-1,1,1,-1,-1,0,-1,0,1,-1,0.86,13.49,-27.12,-3.82719,196
1,1,0,-1,-1,-1,0,1,0,0,-1,0.79,12.21,-25.29,-3.54403,197
-1,-1,0,-1,1,-1,0,0,0,1,-1,1.37,27.25,-27.19,-4.82523,198
-1,-1,-1,-1,0,0,0,0,0,0,-1,1.2,25.87,-29.92,-4.858090000000001,199
1,-1,1,-1,1,1,0,1,1,1,0,1.05,14.17,-21.55,-3.52855,200
1,0,1,1,0,1,0,0,-1,0,0,0.69,9.46,-23.25,-3.1601,1
-1,-1,1,0,0,0,-1,1,0,-1,0,1.07,17.26,-25.32,-4.00354,2
1,0,0,0,0,-1,1,1,1,-1,-1,0.71,9.31,-23.31,-3.18037,3
-1,-1,1,1,1,0,0,0,-1,0,1,0.73,10.68,-25.65,-3.4636,4
1,-1,0,-1,0,1,0,1,-1,0,-1,0.75,10.12,-23.27,-3.24504,5
0,1,1,-1,0,-1,1,-1,0,-1,-1,0.71,8.91,-23.37,-3.1718900000000003,6
1,-1,0,-1,0,-1,1,1,0,-1,0,0.61,8.12,-24.81,-3.17672,7
-1,1,-1,0,1,-1,0,1,1,0,-1,1.06,15.47,-24.69,-3.87293,8
0,0,0,-1,0,-1,-1,1,-1,1,0,0.92,15.44,-27.11,-3.95452,9
1,-1,0,-1,1,0,-1,-1,1,0,1,0.45,4.87,-21.59,-2.60673,10
1,1,0,-1,0,0,0,-1,1,0,0,0.47,5.34,-22.27,-2.70574,11
0,0,-1,-1,0,1,0,0,0,1,-1,0.9,13.13,-24.65,-3.62735,12
1,0,1,-1,-1,1,1,-1,-1,1,-1,0.77,10.07,-22.93,-3.2320100000000003,13
-1,-1,0,0,0,-1,0,1,1,1,1,1.15,17.86,-25.15,-4.0889,14
0,-1,0,0,0,-1,-1,0,-1,1,0,0.88,13.19,-25.47,-3.68489,15
0,-1,-1,-1,0,0,1,-1,0,1,-1,0.82,12.4,-25.87,-3.63404,16
0,1,-1,1,0,0,0,0,1,1,0,0.82,12.31,-25.27,-3.57569,17
0,0,0,-1,-1,1,1,0,0,1,0,0.97,14.59,-25.09,-3.78893,18
1,1,-1,-1,0,1,0,1,-1,0,1,0.76,9.84,-22.79,-3.20108,19
-1,-1,-1,0,1,-1,1,0,0,1,0,1.13,19.65,-24.62,-4.082789999999999,20
-1,0,-1,1,0,0,-1,0,1,-1,-1,0.92,15.18,-28.22,-4.04754,21
0,-1,-1,0,0,0,1,0,0,-1,1,0.93,15.88,-26.15,-3.8916,22
0,-1,-1,0,0,-1,-1,0,-1,0,-1,1.21,23.02,-26.72,-4.47394,23
1,0,1,1,1,1,-1,0,0,-1,0,0.69,9.46,-24.29,-3.25578,24
-1,1,0,0,0,1,0,1,1,-1,0,1.07,15.79,-23.64,-3.79753,25
0,0,-1,0,1,0,1,0,1,1,-1,0.82,10.59,-21.81,-3.19717,26
1,1,0,1,1,1,0,-1,1,0,-1,0.82,11.22,-24.03,-3.42346,27
-1,1,-1,0,-1,0,0,-1,0,0,1,0.56,7.88,-27.29,-3.34648,28
0,1,-1,-1,-1,1,-1,0,-1,1,0,0.77,11.46,-24.88,-3.46006,29
0,-1,1,1,-1,1,1,0,1,0,-1,0.83,12.4,-24.71,-3.53732,30
0,0,0,1,0,1,0,0,0,-1,0,0.94,14.37,-25.84,-3.82023,31
0,-1,1,0,-1,0,0,1,1,0,0,1.24,20.44,-26.87,-4.427440000000001,32
1,1,0,1,0,0,0,-1,1,1,0,0.74,10.11,-23.44,-3.25033,33
0,-1,0,0,0,1,-1,1,-1,-1,0,0.86,12.62,-25.5,-3.6477,34
0,-1,0,1,1,-1,-1,0,0,0,0,0.65,8.6,-24.35,-3.1912000000000003,35
0,0,-1,-1,-1,0,0,-1,0,1,1,0.78,11.67,-26.84,-3.65773,36
-1,1,-1,1,-1,-1,0,0,-1,0,1,0.5,6.47,-25.79,-3.09913,37
0,0,1,0,0,1,1,-1,1,0,1,0.82,11.65,-24.12,-3.44679,38
-1,-1,0,1,-1,1,1,1,-1,1,0,0.73,11.32,-27.34,-3.64148,39
0,-1,0,1,-1,0,-1,-1,0,1,1,0.74,10.75,-26.47,-3.55149,40
-1,1,0,-1,-1,0,1,-1,0,1,1,0.87,13.02,-25.03,-3.628460000000001,41
0,0,0,-1,-1,0,-1,1,0,0,0,0.87,14.67,-27.59,-3.92173,42
1,0,-1,0,-1,1,-1,1,-1,0,0,0.74,10.45,-24.91,-3.39747,43
0,1,1,0,0,0,-1,-1,-1,1,0,0.73,9.6,-23.18,-3.19856,44
-1,0,1,-1,0,0,-1,0,-1,-1,1,0.63,8.71,-25.44,-3.27533,45
0,-1,0,0,0,-1,-1,1,1,1,1,0.99,14.87,-26.24,-3.92453,46
1,1,1,1,0,-1,1,1,1,1,1,0.92,12.75,-23.31,-3.51077,47
-1,1,-1,0,-1,1,1,-1,0,0,1,0.68,10.23,-27.43,-3.56161,48
1,0,1,1,1,1,0,-1,1,-1,-1,0.86,11.81,-24.08,-3.48871,49
-1,-1,1,1,1,1,0,1,-1,1,-1,0.88,12.83,-23.24,-3.46713,50
0,-1,1,0,0,0,1,1,-1,0,-1,0.81,11.01,-23.46,-3.35367,51
0,0,-1,0,0,-1,-1,0,-1,0,1,0.5,6.27,-25.15,-3.03325,52
-1,-1,-1,0,-1,1,0,1,0,-1,-1,1.06,19.72,-29.95,-4.505599999999999,53
-1,-1,0,0,-1,-1,0,1,1,-1,-1,0.99,16.94,-27.6,-4.1221,54
-1,-1,0,0,-1,1,1,1,0,-1,-1,1.12,19.68,-28.48,-4.42896,55
-1,-1,0,0,1,-1,-1,0,-1,-1,-1,1.24,24.07,-26.44,-4.51493,56
0,-1,1,0,-1,1,1,1,1,-1,0,0.89,13.01,-25.83,-3.72171,57
1,-1,-1,0,-1,-1,0,0,-1,-1,-1,0.95,17.11,-27.92,-4.11749,58
-1,-1,0,0,-1,-1,0,0,-1,0,-1,1.2,23.89,-29.25,-4.72715,59
-1,-1,0,0,0,-1,0,0,0,1,-1,1.32,26.59,-28.85,-4.90485,60
-1,-1,-1,0,1,0,0,1,-1,1,-1,1.12,17.29,-25.14,-4.03803,61
-1,-1,0,0,0,-1,-1,-1,0,1,-1,0.87,14.09,-27.55,-3.89775,62
-1,-1,1,0,-1,0,-1,0,1,1,0,0.98,16.43,-29.03,-4.22581,63
1,-1,1,0,-1,0,0,-1,1,0,0,0.68,8.49,-22.33,-3.03151,64
-1,-1,1,0,0,1,0,0,0,1,-1,0.77,11.35,-25.89,-3.5491300000000003,65
-1,-1,-1,0,1,1,0,0,0,-1,-1,1.4,28.57,-28.21,-4.99527,66
1,0,0,1,1,0,-1,0,1,-1,0,0.58,7.13,-23.39,-2.9814300000000005,67
-1,-1,1,0,-1,0,0,-1,1,1,0,0.84,13.33,-27.4,-3.82735,68
0,-1,0,0,1,0,0,0,0,0,-1,0.91,11.6,-21.52,-3.29584,69
-1,-1,0,0,0,0,-1,1,1,1,0,1.08,18.1,-27.96,-4.28582,70
-1,1,-1,0,-1,1,0,0,0,-1,-1,1.13,23.11,-28.79,-4.587529999999999,71
-1,-1,-1,0,0,1,0,0,1,-1,-1,1.36,28.95,-30.19,-5.15073,72
-1,-1,0,0,0,1,1,0,0,0,-1,1.13,21.1,-27.79,-4.42518,73
-1,-1,0,0,1,-1,0,0,1,1,-1,0.95,12.93,-22.55,-3.47715,74
-1,-1,-1,0,-1,-1,0,1,0,1,-1,1.05,19.47,-30.1,-4.50065,75
-1,-1,-1,1,1,1,1,0,1,-1,-1,0.87,12.17,-23.52,-3.45979,76
-1,-1,-1,0,-1,1,0,0,0,-1,-1,1.19,25.4,-30.32,-4.86844,77
0,-1,-1,0,1,1,-1,0,1,-1,-1,1.13,18.05,-25.0,-4.06175,78
-1,-1,-1,0,0,0,0,0,1,1,-1,1.09,18.92,-28.64,-4.38708,79
0,-1,-1,0,-1,1,0,0,1,-1,-1,1.28,26.0,-28.8,-4.839600000000001,80
-1,-1,-1,0,0,1,0,1,1,1,-1,1.18,20.25,-27.76,-4.44267,81
-1,-1,-1,0,0,-1,-1,0,-1,-1,-1,1.16,23.46,-27.96,-4.55342,82
-1,-1,-1,0,1,-1,0,0,-1,-1,-1,1.27,24.53,-25.9,-4.51135,84
-1,-1,-1,0,0,1,0,0,1,0,-1,1.17,20.36,-29.04,-4.55428,85
-1,-1,-1,0,-1,1,1,0,1,-1,-1,1.25,25.55,-28.02,-4.72209,86
